fellow_id,first_name,last_name,state,alc_code,cohort_number,track,enrollment_date,completion_status,certification_status,geopolitical_zone
3MTT-F00805,Adaeze,Ojo,Ogun,ALC-014,3,Software Development,2023-01-01,complete,certified,North-West
3MTT-F00226,Fatima,Sule,Bayelsa,ALC-021,3,Product Management,2023-01-01,complete,certified,South-South
3MTT-F00286,Oluwafemi,Aliyu,Imo,ALC-035,4,Cybersecurity,2023-01-01,incomplete,not certified,South-East
3MTT-F00400,Fatima,Ibrahim,Kaduna,ALC-022,3,Software Development,2023-01-01,incomplete,not certified,North-West
3MTT-F00892,Babatunde,Okonkwo,Abuja,ALC-025,3,UI/UX Design,2023-01-01,incomplete,not certified,North-Central
3MTT-F00705,Chinwe,Sule,Delta,ALC-023,3,Cybersecurity,2023-01-01,incomplete,not certified,South-South
3MTT-F01068,Adaeze,Musa,Gombe,ALC-026,3,AI/ML,2023-01-01,incomplete,not certified,North-East
3MTT-F00421,Fatima,Ike,Cross River,ALC-027,4,Product Management,2023-01-01,complete,certified,South-South
3MTT-F00329,Amina,Eze,Gombe,ALC-026,4,Cybersecurity,2024-01-15,incomplete,not certified,North-East
3MTT-F01053,Amina,Ike,Abuja,ALC-025,4,Product Management,2024-01-15,complete,certified,North-Central
3MTT-F00396,Fatima,Nwachukwu,Borno,ALC-030,4,DevOps,2024-01-16,complete,certified,North-East
3MTT-F00308,Babatunde,Aliyu,Delta,ALC-023,4,Software Development,2024-01-17,incomplete,not certified,South-South
3MTT-F00753,Chiamaka,Ojo,Cross River,ALC-010,3,Data Analysis,2024-01-17,complete,certified,South-South
3MTT-F00873,Amina,Adeyemi,Lagos,ALC-016,3,UI/UX Design,2024-01-17,complete,certified,South-West
3MTT-F00546,Zainab,Bello,Adamawa,ALC-001,4,DevOps,2024-01-18,incomplete,not certified,North-East
3MTT-F00959,Kayode,Ibrahim,Ekiti,ALC-046,3,Cloud Computing,2024-01-18,complete,not certified,South-West
3MTT-F00954,Segun,Afolabi,Abuja,ALC-025,3,DevOps,2024-01-19,complete,certified,North-Central
3MTT-F00111,Obinna,Lawal,Katsina,ALC-039,4,Cybersecurity,2024-01-19,incomplete,not certified,North-West
3MTT-F00420,Temitope,Afolabi,Rivers,ALC-009,3,Cloud Computing,2024-01-19,complete,certified,North-Central
3MTT-F00347,Dele,Ike,Adamawa,ALC-001,3,Cloud Computing,2024-01-20,complete,not certified,North-East
3MTT-F00693,Grace,Sule,Sokoto,ALC-047,3,Product Management,2024-01-20,complete,certified,North-West
3MTT-F01110,Amina,Hassan,Niger,ALC-034,4,Cybersecurity,2024-01-20,incomplete,not certified,North-Central
3MTT-F01027,Oluwafemi,Hassan,Akwa Ibom,ALC-042,4,Cloud Computing,2024-01-21,complete,certified,South-West
3MTT-F00472,Suleiman,Bello,Ondo,ALC-020,4,Data Analysis,2024-01-21,complete,certified,South-West
3MTT-F00445,Ekene,Hassan,Anambra,ALC-028,3,DevOps,2024-01-21,complete,not certified,South-East
3MTT-F00731,Temitope,Ibrahim,Kogi,ALC-UNKNOWN,3,DevOps,2024-01-22,complete,certified,
3MTT-F00704,Bola,Musa,Kebbi,ALC-024,4,Cybersecurity,2024-01-22,incomplete,not certified,North-West
