fellow_id,week,response_timestamp,survey_score,phone_number,email,phone_std
3MTT-F00001,1,2024-02-05 16:00:00,2.2,+2348165956164,3mtt.f00001@gmail.com,2348165956164
3MTT-F00001,2,2024-02-14 13:00:00,4.9,2347067490250,3mtt.f00001@gmail.com,2347067490250
3MTT-F00001,4,2024-03-01 11:00:00,4.4,2349058953690,3mtt.f00001@gmail.com,2349058953690
3MTT-F00001,5,2024-03-09 09:00:00,4.9,0816-989-8681,3mtt.f00001@yahoo.com,2348169898681
3MTT-F00001,7,2024-03-23 16:00:00,3.6,+2347064394353,3mtt.f00001@yahoo.com,2347064394353
3MTT-F00001,8,2024-03-27 19:00:00,4.9,+2348167651588,3mtt.f00001@gmail.com,2348167651588
3MTT-F00001,9,2024-04-05 11:00:00,3.3,0810-392-8369,3mtt.f00001@gmail.com,2348103928369
3MTT-F00001,10,2024-04-10 13:00:00,2.9,008066682973,3mtt.f00001@yahoo.com,2348066682973
3MTT-F00001,11,2024-04-15 14:00:00,2.8,2349057120602,3mtt.f00001@yahoo.com,2349057120602
3MTT-F00001,12,2024-04-26 14:00:00,4.7,+2347062683415,3mtt.f00001@yahoo.com,2347062683415
3MTT-F00002,1,2024-02-09 09:00:00,5.0,8031576764,3mtt.f00002@yahoo.com,2348031576764
3MTT-F00002,2,2024-02-13 19:00:00,4.3,009051209957,3mtt.f00002@gmail.com,2349051209957
3MTT-F00002,3,2024-02-24 17:00:00,2.8,0806-347-5098,3mtt.f00002@yahoo.com,2348063475098
3MTT-F00002,4,2024-02-29 12:00:00,3.0,0706-220-3684,3mtt.f00002@gmail.com,2347062203684
3MTT-F00002,5,2024-03-06 12:00:00,2.5,07034773244,3mtt.f00002@yahoo.com,2347034773244
3MTT-F00002,7,2024-03-19 09:00:00,2.6,09052090883,3mtt.f00002@gmail.com,2349052090883
3MTT-F00002,8,2024-03-27 17:00:00,3.3,008148274117,3mtt.f00002@yahoo.com,2348148274117
3MTT-F00002,9,2024-04-07 10:00:00,5.0,008065131528,3mtt.f00002@gmail.com,2348065131528
3MTT-F00002,10,2024-04-12 18:00:00,4.3,7060618538,3mtt.f00002@gmail.com,2347060618538
3MTT-F00002,11,2024-04-20 18:00:00,2.0,2348139633472,3mtt.f00002@gmail.com,2348139633472
3MTT-F00003,1,2024-02-06 18:00:00,4.6,2349053061789,3mtt.f00003@gmail.com,2349053061789
3MTT-F00003,2,2024-02-17 12:00:00,3.8,9083578243,3mtt.f00003@yahoo.com,2349083578243
3MTT-F00003,3,2024-02-25 18:00:00,3.2,007068741314,3mtt.f00003@gmail.com,2347068741314
3MTT-F00003,4,2024-03-02 14:00:00,2.3,8145156277,3mtt.f00003@gmail.com,2348145156277
3MTT-F00003,5,2024-03-06 12:00:00,3.5,008100854566,3mtt.f00003@yahoo.com,2348100854566
3MTT-F00003,6,2024-03-11 12:00:00,3.5,0816-504-7639,3mtt.f00003@yahoo.com,2348165047639
3MTT-F00003,7,2024-03-23 09:00:00,4.8,09089529800,3mtt.f00003@yahoo.com,2349089529800
3MTT-F00003,9,2024-04-03 20:00:00,4.3,008060835832,3mtt.f00003@yahoo.com,2348060835832
3MTT-F00003,11,2024-04-21 10:00:00,4.7,0706-638-3000,3mtt.f00003@yahoo.com,2347066383000
3MTT-F00003,12,2024-04-25 20:00:00,3.5,008134403304,3mtt.f00003@yahoo.com,2348134403304
3MTT-F00004,1,2024-02-06 19:00:00,4.6,2348061186008,3mtt.f00004@gmail.com,2348061186008
3MTT-F00004,2,2024-02-16 20:00:00,3.2,09084568044,3mtt.f00004@gmail.com,2349084568044
3MTT-F00004,3,2024-02-24 17:00:00,3.4,7036136847,3mtt.f00004@gmail.com,2347036136847
3MTT-F00004,4,2024-02-27 14:00:00,2.1,008146581739,3mtt.f00004@yahoo.com,2348146581739
3MTT-F00004,6,2024-03-14 17:00:00,2.3,007035211823,3mtt.f00004@yahoo.com,2347035211823
3MTT-F00004,7,2024-03-18 10:00:00,3.2,+2348148930746,3mtt.f00004@gmail.com,2348148930746
3MTT-F00004,9,2024-04-06 17:00:00,3.8,2348034387875,3mtt.f00004@yahoo.com,2348034387875
3MTT-F00004,10,2024-04-13 15:00:00,3.5,08061616202,3mtt.f00004@gmail.com,2348061616202
3MTT-F00004,11,2024-04-18 09:00:00,2.1,+2348107287286,3mtt.f00004@gmail.com,2348107287286
3MTT-F00004,12,2024-04-24 19:00:00,4.8,7038595922,3mtt.f00004@gmail.com,2347038595922
3MTT-F00005,1,2024-02-09 19:00:00,3.1,009084773522,3mtt.f00005@gmail.com,2349084773522
3MTT-F00005,2,2024-02-15 10:00:00,2.5,08060433187,3mtt.f00005@gmail.com,2348060433187
3MTT-F00005,3,2024-02-23 10:00:00,2.2,+2349053503446,3mtt.f00005@gmail.com,2349053503446
3MTT-F00005,4,2024-03-03 14:00:00,4.8,+2349058319213,3mtt.f00005@gmail.com,2349058319213
3MTT-F00005,5,2024-03-05 20:00:00,3.6,08105999497,3mtt.f00005@gmail.com,2348105999497
3MTT-F00005,8,2024-03-31 17:00:00,2.4,008137051028,3mtt.f00005@yahoo.com,2348137051028
3MTT-F00005,9,2024-04-03 12:00:00,3.5,0806-386-6675,3mtt.f00005@gmail.com,2348063866675
3MTT-F00005,10,2024-04-08 17:00:00,4.5,0813-426-8774,3mtt.f00005@gmail.com,2348134268774
3MTT-F00005,12,2024-04-23 08:00:00,4.6,8145639836,3mtt.f00005@gmail.com,2348145639836
3MTT-F00006,2,2024-02-14 16:00:00,2.6,09084515480,3mtt.f00006@gmail.com,2349084515480
